term,definition,link
CI/CD,"Short for Continuous Integration / Continuous Delivery: the practice of automatically building, testing, and shipping code every time someone changes it, instead of doing those steps by hand.",https://en.wikipedia.org/wiki/CI/CD
modules,"In Harness, modules are separate purpose-built product areas — like CI, CD, or Feature Flags — that each focus on one job but share the same underlying pipeline engine.",
pipeline,"A pipeline is the top-level workflow in Harness: the end-to-end sequence of stages that pulls your code, builds it, tests it, and deploys it.",
stage,"A stage is one phase of a pipeline (like 'build' or 'deploy') that groups together a set of related steps that run in order.",
step,"A step is the smallest unit of work in a Harness pipeline — one specific action, like running a script or a single test.",
Delegate,"The Delegate is a lightweight worker process you run inside your own network — e.g. installed as a pod in your Kubernetes cluster. It's how cloud-hosted Harness reaches your private servers, clusters, and clouds to actually carry out pipeline tasks.",
selector,"A selector is a tag you put on a Delegate so Harness can route a specific task to that specific Delegate — handy when you run more than one Delegate for different networks or clouds.",
connector,"A connector is a saved, reusable object that stores the login credentials and settings for an outside tool (like GitHub or Docker Hub), so pipelines can reference it by name instead of hardcoding logins.",
secrets,"Secrets are pieces of sensitive data (like a password or API token) that Harness stores encrypted and lets pipelines reference by name, so the real value is never written into pipeline YAML.",
HashiCorp Vault,"HashiCorp Vault is a popular third-party tool for storing and managing secrets, which Harness can plug into instead of (or alongside) its own built-in secrets manager.",https://www.vaultproject.io/
artifact,"An artifact is the packaged output of a build — like a compiled app, a container image, or a zip file — that gets tested and then shipped somewhere for deployment.",
registry,"A registry is a storage service for built artifacts (most often container images), such as Docker Hub, that a CI pipeline uploads to and a CD pipeline later pulls from.",
Harness CI Cloud,"Harness CI Cloud is Harness's own managed pool of virtual machines that run your builds for you, so you don't have to set up and maintain build servers yourself.",
trigger,"A trigger is a rule that starts a pipeline automatically in response to something happening — a Git push, a pull request, a new artifact, or a schedule — instead of a person clicking 'run.'",
cron trigger,"A cron trigger fires a pipeline on a fixed schedule (like 'every night at 2am'), using the same time-pattern syntax as the classic Unix cron scheduler.",
Test Intelligence,"Test Intelligence is a Harness CI feature that figures out which tests are actually affected by a code change and runs only those, instead of the entire test suite every time, to make builds faster.",
Cache Intelligence,"Cache Intelligence is a Harness CI feature that automatically reuses dependency downloads and build layers from previous runs, so repeat builds skip redundant work.",
Service,"In Harness CD, a Service defines *what* you're deploying — your application and its artifact — separately from where or how it gets deployed.",
Environment,"In Harness CD, an Environment is a named deploy target group, like 'staging' or 'production,' that logically separates where different releases go.",
Infrastructure Definition,"An Infrastructure Definition is the exact deploy target within an Environment — for example, the specific Kubernetes cluster or VM group a Service actually gets deployed onto.",
canary,"Canary (as in a canary deployment) means sending a new version of your app to only a small slice of real traffic first — e.g. 5% of users — so you can catch problems before rolling it out to everyone.",
rolling,"Rolling (as in a rolling deployment) means gradually replacing old instances of your app with new ones, one (or a few) at a time, instead of switching everything over at once.",
blue-green,"Blue-green (as in a blue-green deployment) means keeping two complete environments running — the old version ('blue') and the new version ('green') — and switching all live traffic over in one instant move, making rollback as easy as switching back.",
GitOps,"GitOps is a deployment approach where a Git repository is the single source of truth for what should be running, and an automated agent continuously updates the live system to match it.",https://en.wikipedia.org/wiki/DevOps#GitOps
approval,"An approval is a pipeline step that pauses execution and waits for a specific person or group to manually say 'go' before the pipeline continues — commonly used right before a production deploy.",
rollback,"A rollback reverts a deployment back to its last known-good version, either triggered manually by a person or automatically when something like a failed health check is detected.",
Continuous Verification,"Continuous Verification is a Harness CD feature that watches live metrics and logs during a deployment, compares them to a healthy baseline, and can automatically trigger a rollback if it spots a regression.",
template,"A template is a piece of pipeline configuration (a step, stage, or whole pipeline) that you define once and then reuse across many pipelines, instead of copy-pasting the same YAML everywhere — e.g. one 'deploy to Kubernetes' stage template used by every service's pipeline.",
Input Set,"An Input Set is a saved, named bundle of pipeline input values — for example, all the settings needed to deploy to 'staging' — that you can reuse instead of typing them in every time you run the pipeline.",
overlay,"An overlay in Harness combines multiple Input Sets together into a single run configuration — e.g. merging a saved 'staging network' Input Set with a saved 'nightly build' Input Set for one run — letting you mix and match saved value bundles instead of building a new one from scratch each time.",
expression,"A Harness expression, written like <+pipeline.name>, is a placeholder that resolves to a real runtime value when the pipeline actually runs, keeping pipeline configuration generic instead of hardcoded.",
variables,"Variables are named, reusable placeholders in a pipeline or template that can be set differently for each run, keeping the underlying logic generic and reusable instead of tied to one hardcoded value.",
webhook,"A webhook is an automatic HTTP notification one system sends to another when something happens — for example, GitHub notifying Harness the moment new code is pushed, which can then fire a trigger.",https://en.wikipedia.org/wiki/Webhook
governance,"Governance in Harness means automatically checking pipelines against a set of written rules (policies) before they're allowed to run, so bad practices get blocked instead of just noticed after the fact.",
OPA,"OPA, short for Open Policy Agent, is the open-source policy engine Harness governance is built on — it evaluates pipelines against written rules and can block a run that violates one.",https://www.openpolicyagent.org/
Policy as Code,"Policy as Code means writing your organization's rules (like 'production deploys need an approval step') as actual version-controlled code that a system like OPA can automatically check, instead of relying on a verbal policy nobody enforces.",
Feature Flags,"Feature Flags is a Harness module that lets you turn a piece of functionality on or off at runtime — for everyone or just a subset of users — without needing to redeploy or rebuild the app.",https://en.wikipedia.org/wiki/Feature_toggle
STO (Security Testing Orchestration),"STO, short for Security Testing Orchestration, is a Harness module that runs multiple security scanners (like static code analysis and dependency checks) as pipeline steps and combines their results into one unified view.",
Chaos Engineering,"Chaos Engineering is the practice of deliberately injecting controlled failures — like killing a server or adding network latency — into a system on purpose, so you can verify it actually holds up before a real outage does it for you.",https://en.wikipedia.org/wiki/Chaos_engineering
CCM (Cloud Cost Management),"CCM, short for Cloud Cost Management, is a Harness module that tracks how much you're spending across your cloud providers, flags wasted resources like idle VMs, and can automatically apply cost-saving actions.",
