id,title,description,min_level,section,image,section_image
1,What Harness Is and the Problem It Solves,Why teams adopt one platform instead of stitching many CI/CD tools together.,1,Foundations,unit1.png,
2,Harness Modules Overview,"CI, CD, Feature Flags, and more — one platform, several purpose-built modules.",1,Foundations,unit2.png,
3,Pipelines: The Core Building Block,The top-level workflow that everything else in Harness plugs into.,1,Core Building Blocks,unit3.png,
4,Stages and Steps,How a pipeline breaks down into ordered phases and individual actions.,1,Core Building Blocks,unit4.png,
5,Delegates: How Harness Talks to Your Infrastructure,The lightweight worker process running inside your own network.,1,Core Building Blocks,unit5.png,
6,Delegate Selectors,"Directing a specific task to a specific Delegate, by tag.",1,Core Building Blocks,unit6.png,
7,Connectors: Integrating Third-Party Tools,The credentials-and-config object that links Harness to an external system.,1,Core Building Blocks,unit7.png,
8,Secrets Management,Keeping passwords and tokens out of pipeline YAML entirely.,1,Core Building Blocks,unit8.png,
9,Harness CI: Build Pipeline Basics,"Pulling code, building an artifact, and uploading it — the core CI loop.",1,Continuous Integration,unit9.png,
10,Build Infrastructure: Cloud Build vs. Self-Hosted,Running builds on Harness-managed VMs versus your own machines.,1,Continuous Integration,unit10.png,
11,Codebase and Trigger Configuration,Connecting a repo and deciding what event kicks off a pipeline.,1,Continuous Integration,unit11.png,
12,Test Intelligence,Running only the tests actually affected by a code change.,1,Continuous Integration,unit12.png,
13,Cache Intelligence,Reusing dependency and build caches automatically between runs.,1,Continuous Integration,unit13.png,
14,"Harness CD: Services, Environments, Infrastructure Definitions","The three concepts that describe what you deploy, and where.",1,Continuous Delivery,unit14.png,
15,"Deployment Strategies: Rolling, Canary, Blue-Green",Three different ways to roll new code out to production safely.,1,Continuous Delivery,unit15.png,
16,GitOps in Harness,"Letting Git, not a manual click, be the source of truth for deploys.",1,Continuous Delivery,unit16.png,
17,Approval Steps and Manual Gates,Pausing a pipeline for a human to say 'go' before it continues.,1,Continuous Delivery,unit17.png,
18,Rollback Mechanics,Automatically or manually reverting to the last known-good version.,1,Continuous Delivery,unit18.png,
19,Continuous Verification During Deploys,Watching real metrics mid-rollout to catch a bad deploy early.,1,Continuous Delivery,unit19.png,
20,Templates: Reusing Pipeline Logic,"Defining a step, stage, or pipeline once and reusing it everywhere.",1,Reuse & Automation,unit20.png,
21,Input Sets and Overlays,Saving a named set of pipeline input values for reuse.,1,Reuse & Automation,unit21.png,
22,Variables and Expressions,Passing dynamic values through a pipeline using runtime expressions.,1,Reuse & Automation,unit22.png,
23,Triggers: Automating Pipeline Runs,"Firing a pipeline automatically on a Git event, schedule, or new artifact.",1,Reuse & Automation,unit23.png,
24,Policy as Code (OPA Governance),"Enforcing organizational rules on pipelines automatically, before they can run.",1,Governance,unit24.png,
25,Feature Flags Module,Turning a feature on for some users without a new deploy.,1,Other Modules,unit25.png,
26,Security Testing Orchestration (STO),"Running SAST, DAST, and dependency scans as pipeline steps.",1,Other Modules,unit26.png,
27,Chaos Engineering Module,Deliberately breaking things in a controlled way to test resilience.,1,Other Modules,unit27.png,
28,Cloud Cost Management (CCM),Tracking and cutting cloud spend directly from the same platform.,1,Other Modules,unit28.png,
29,Internal Developer Portal (IDP),A self-service catalog so developers can find and spin up services.,1,Other Modules,unit29.png,
30,Software Engineering Insights (SEI),"Engineering metrics like DORA, cycle time, and delivery trends.",1,Other Modules,unit30.png,
31,Harness Open Source vs. Harness Platform,"A free, self-hosted core versus the full managed SaaS offering.",1,Organization & Best Practices,unit31.png,
32,"Projects, Organizations, and RBAC",How access and pipelines are scoped across a whole company.,1,Organization & Best Practices,unit32.png,
33,Pipeline Notifications and Observability,"Getting alerted about pipeline events, and watching execution in real time.",1,Organization & Best Practices,unit33.png,
34,Common Harness Anti-Patterns and Best Practices,"Mistakes to avoid: hardcoded secrets, giant pipelines, and skipped approvals.",1,Organization & Best Practices,unit34.png,
